ID,Broker Name,Broker email,Phone,Address,city,state,notes
3,Logistics Dynamic,,,,,,
6,NTG,,,,,,
12,YELLOW DIAMOND CONSULTANTS LLC,conch@yellowdiamondconsulting.com,+1 714-617-1752,1467 WEMBLEY CT NE,ATLANTA,,
13,MILLHOUSE LOGISTICS INC,lisa.korshak@millhouse.com,MILLHOUSE LOGISTICS INC,,FLETCHER,,
14,"440 TRANSIT, LLC.",bsacrey@440transit.com,27022614289,500 WINN SCHOOL RD,Glasgow ,,
15,"LOGISTIC DYNAMICS, INC",hrosenzweig@shipldi.com,+1 479-409-8008,1140 WEHRLE DRIVE,BUFFALO,,
16,BLX,ops@shipblx.com,(319) 350-9598,Cedar Rapids,"Cedar Rapids, IA ",,
17,Global Tranz,njovanovic@shipblx.com, (319) 409-6934,15035 N 75TH ST SCOTTSDALE,SCOTTSDALE,,
18,BRONCO LOGISTICS,,+1 847-952-0300,801 CHASE AVE UNIT J,ELK GROVE VILLAGE,,
19,SUMMIT EXPEDITED LOGISTICS,,+1 312-981-7400,55 W Monroe Ste 3590,CHICAGO,,
20,AM TRANS EXPEDITE ,dispatch@amtransexpedite.com,+1 847-238-9999,550 E DEVON AVE,ITASCA,,
21,Platinum Cargo Logistics Inc,opsatl@platinumcargo.com,14042140488,5181 Ward Road Suite 101,Wheat Ridge,,
22,SATURN FREIGHT SYSTEMS,atlops@saturnfreight.com,+1 800-849-5575,P.O. BOX 680308,MARIETTA,,
23,"CTS Xpress, LLC",tracy@ctsxpress.net,+1 864-879-4443,206 RIVERSIDE CT. SUITE B,GREER,,
24,LEE-EXCO,justin@lee-exco.com,+1 281-987-3200,2700 GREENS RD BLDG 200,HOUSTON,,
25,BEST CARTAGE INC,kwhite@shipwithbest.com,+1 800-299-4787,829 GRAVES ST,KERNERSVILLE,,
26,FREEWAY INTERNATIONAL LOGISTICS LLC,Sylectus.ATL@freewaylogs.com,+1 407-635-8108,213 INDUSTRIAL CRT,WABASHA,,
